"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","has_clean","in_manhattan"
6865662,"Loft style, chill, charming East Village sanctuary",29480685,"Anna","Manhattan","East Village",40.72148,-73.98235,"Entire home/apt",244,2,22,"2019-07-02",0.45,1,1,0,1
33157502,"#2 Make yourself at home. (close to LGA and JFK)",249649095,"Tenzin","Queens","East Elmhurst",40.76132,-73.88192,"Private room",53,2,16,"2019-06-21",4.49,1,79,0,0
32942632,"Jackson Heights coziest private room",229637274,"Sonia","Queens","Elmhurst",40.74642,-73.88044,"Private room",30,1,15,"2019-07-03",4.84,2,135,0,0
6407534,"Clean, bright, renovated apt in Lower East Side",5919678,"Carole","Manhattan","Lower East Side",40.71983,-73.98801,"Entire home/apt",140,5,8,"2018-06-14",0.16,1,0,1,1
11753760,"Gorgeous apartment in Brownstone",62542300,"Gary","Brooklyn","South Slope",40.66736,-73.98773,"Private room",140,2,141,"2019-07-05",3.63,1,268,0,0
32012464,"Half a block from the train! my private cozy room",239978864,"Patricia","Queens","Jackson Heights",40.7489,-73.87549,"Private room",50,2,20,"2019-07-01",4.69,1,167,0,0
23120142,"Deluxe Bedroom - 30 minutes from Midtown!",133602911,"Sanyika","Bronx","Mount Hope",40.84882,-73.90263,"Private room",80,3,20,"2019-06-14",1.18,2,36,0,0
24521752,"New York City with the bird view",180700434,"Luba","Manhattan","Upper East Side",40.78119,-73.95121,"Entire home/apt",200,4,0,"",NA,1,83,0,1
21476604,"Entire 1 bed Apt by Central/Morningside Park",12216173,"Fan","Manhattan","Harlem",40.80543,-73.95739,"Entire home/apt",150,1,21,"2019-06-21",1.14,1,2,0,1
15310116,"Sunny  Space in Crown Heights",77778146,"Andre","Brooklyn","Crown Heights",40.66631,-73.94764,"Private room",95,30,3,"2018-09-03",0.15,8,189,0,0
20587755,"Hello, Brooklyn.",4983469,"Jonathan","Brooklyn","Boerum Hill",40.68796,-73.98783,"Entire home/apt",174,3,5,"2017-11-05",0.23,1,0,0,0
26559476,"Warm and Cozy Bedroom ~ 15 minutes to JFK",72746827,"Jeffrey & Casandra","Queens","Bayswater",40.61036,-73.7687,"Private room",82,1,8,"2019-07-07",8,1,172,0,0
335797,"Bklyn 6 Beds 1 Bathroom Rental 2",1709216,"Steve And Heather","Brooklyn","East Flatbush",40.63602,-73.94607,"Entire home/apt",115,3,64,"2019-05-11",0.72,4,333,0,0
29779072,"Massive Large 4 bedrooms 2 bathrooms in Manhattan",4317615,"Fabio","Manhattan","Harlem",40.82064,-73.9537,"Private room",150,1,11,"2019-01-25",1.43,2,0,0,1
33641091,"Charming Williamsburg 30 day min stay 2 br /2 bath",10951481,"Ann","Brooklyn","Williamsburg",40.71095,-73.96717,"Entire home/apt",183,30,0,"",NA,5,249,0,0
36385310,"Piano duplex in New York artistic best Bushwick",273547720,"Cedric","Brooklyn","Bushwick",40.69982,-73.92321,"Entire home/apt",170,30,0,"",NA,1,360,0,0
13427591,"Stunning 1 Bedroom Apt with Indoor Pool",30283594,"Kara","Manhattan","Hell's Kitchen",40.76112,-73.99893,"Entire home/apt",239,30,0,"",NA,121,365,0,1
6636389,"perfect west village location!",27439632,"Brian","Manhattan","West Village",40.73204,-74.00399,"Entire home/apt",160,4,0,"",NA,1,0,0,1
7915831,"Lovely, Room/with Private bathroom",5719436,"Leonie","Brooklyn","Flatbush",40.63982,-73.96634,"Private room",1100,1,1,"2016-09-11",0.03,1,365,0,0
35499352,"A luxury Bronx living",170071460,"Inas","Bronx","Kingsbridge",40.88531,-73.90008,"Private room",100,3,0,"",NA,1,88,0,0
36244479,"Private Room:  Have your own and share some comm",272609175,"Avi","Brooklyn","Flatlands",40.61813,-73.94253,"Private room",70,2,0,"",NA,1,365,0,0
5525510,"Cozy Bohemian Room in New York City",23086547,"Arya","Manhattan","Chinatown",40.71705,-73.99668,"Private room",62,6,62,"2019-06-23",1.27,1,317,0,1
23517220,"Private 1 Bedroom in the Heart of Queens",27921386,"Nathalia","Queens","Forest Hills",40.71331,-73.83474,"Private room",40,1,14,"2018-12-24",0.9,1,0,0,0
3198824,"Bright 1 bedroom near Columbia",9523245,"Albane","Manhattan","Upper West Side",40.79739,-73.96945,"Entire home/apt",195,3,8,"2017-07-09",0.13,1,0,0,1
33195147,"The Sweet",239155432,"Thia","Bronx","Wakefield",40.90484,-73.84489,"Private room",120,1,1,"2019-04-08",0.32,1,268,0,0
16011441,"15 minute train ride to Times Square",101602599,"M","Queens","Woodside",40.74327,-73.90627,"Private room",75,3,9,"2018-08-26",0.28,2,7,0,0
10474780,"Private Room next to park",40312267,"Trini","Brooklyn","Flatbush",40.65398,-73.96377,"Private room",50,2,5,"2016-05-11",0.12,1,0,0,0
31065551,"Room 25 min away from Manhattan 7train/busQ67",31044879,"Ara","Queens","Sunnyside",40.73718,-73.9209,"Private room",60,3,8,"2019-07-01",1.27,2,0,0,0
1736064,"Sunny 1BR Overlooking Prospect Park",721267,"Debbie","Brooklyn","Prospect-Lefferts Gardens",40.65769,-73.96161,"Entire home/apt",115,30,2,"2019-05-16",0.03,1,0,0,0
16148036,"Cozy bed in private living room",94536810,"Belkis","Bronx","Bronxdale",40.85711,-73.86474,"Private room",45,5,30,"2019-05-23",0.98,2,318,0,0
35492112,"Spacious Bushwick 3BR, 2.5 Bath (Steps to Subway!)",266531875,"Willy","Brooklyn","Bushwick",40.69403,-73.91991,"Entire home/apt",475,2,3,"2019-07-01",3,3,343,0,0
3836189,"Amazing, Spacious Bedroom in BK",9314076,"Naeem","Brooklyn","Bedford-Stuyvesant",40.69291,-73.95142,"Private room",80,1,0,"",NA,1,0,0,0
29302018,"1 Bedroom Apartment 1 minute walk to subway",93732420,"Tim","Queens","Astoria",40.76363,-73.92178,"Entire home/apt",90,5,0,"",NA,2,0,0,0
9230690,"Cosy and quiet Williamsburg room",8439782,"Tim","Brooklyn","Williamsburg",40.71322,-73.95199,"Private room",49,5,0,"",NA,1,0,0,0
34259388,"Great home for the summer ONLY",17770682,"Adriana","Bronx","Highbridge",40.83149,-73.92766,"Entire home/apt",70,40,0,"",NA,1,0,0,0
3510929,"Apartment in beautiful Brooklyn Heights",130216,"Maria","Brooklyn","Brooklyn Heights",40.69088,-73.99416,"Entire home/apt",155,5,7,"2018-07-17",0.12,1,17,0,0
20755500,"SUNNY + MODERN NEW 1 BEDROOM APARTMENT IN BEDSTUY",1180050,"Shawn","Brooklyn","Bedford-Stuyvesant",40.6918,-73.95151,"Entire home/apt",200,4,2,"2017-11-15",0.09,1,0,0,0
258688,"Spacious & Stylish Chelsea One Bedroom Apartment",436599,"Chad","Manhattan","West Village",40.74031,-74.00532,"Entire home/apt",325,4,46,"2019-06-02",0.5,1,20,0,1
31997308,"Cozy Studio",239906704,"Adrian","Queens","Woodside",40.74286,-73.91076,"Private room",120,2,0,"",NA,1,365,0,0
17447150,"1 BR Contemporary Luxury Apartment w W/D in UWS",15145088,"Izi","Manhattan","Upper West Side",40.78688,-73.97403,"Entire home/apt",184,30,3,"2018-10-22",0.12,8,346,0,1
17750238,"Great room in a spacious Inwood Apartment",13860679,"Max","Manhattan","Inwood",40.86348,-73.92232,"Private room",99,3,4,"2018-10-03",0.15,3,179,0,1
6741094,"Gorgeous Luxury Apartment",35299368,"Adriana","Manhattan","Murray Hill",40.74798,-73.9814,"Private room",200,1,1,"2015-06-21",0.02,1,0,0,1
32833064,"Private Room Right Off L Train",6447195,"Aurora","Brooklyn","Williamsburg",40.70754,-73.94151,"Private room",42,3,3,"2019-06-26",1.3,2,5,0,0
30998033,"A beautiful huge quiet Brooklyn apartment.",231503052,"Jack","Brooklyn","Sheepshead Bay",40.6001,-73.94974,"Entire home/apt",199,3,16,"2019-06-28",2.57,1,129,0,0
35742909,"The waterview  quiet area and just everything",268868462,"Duane","Brooklyn","Greenpoint",40.7309,-73.95969,"Private room",200,4,0,"",NA,1,365,0,0
32884505,"Cozy, spacious room in Bed-Stuy",158872351,"Kelly","Brooklyn","Bedford-Stuyvesant",40.68845,-73.9439,"Private room",55,1,7,"2019-06-10",2.56,1,0,0,0
34071098,"3BR Times Square! Great Location! W/D!",253789998,"Kim","Manhattan","Hell's Kitchen",40.76303,-73.98894,"Entire home/apt",149,30,2,"2019-05-23",0.9,1,148,0,1
35039936,"New 1 bedroom apartment in luxury building",263957584,"Sara","Brooklyn","Bushwick",40.69971,-73.93068,"Entire home/apt",198,9,4,"2019-07-01",3.33,2,159,0,0
13492449,"[TRUE 1br] Heart of the West Village",31489150,"Kelly","Manhattan","West Village",40.7332,-74.0039,"Entire home/apt",190,2,2,"2016-09-17",0.05,1,0,0,1
27638014,"Beach Bungalo Steps to Bay Bike to Beach. Rockaway",23299832,"Jodi","Queens","Arverne",40.59787,-73.79759,"Entire home/apt",250,1,0,"",NA,1,90,0,0
20587159,"Cozy East Village Studio Apartment",8130515,"Jessica","Manhattan","East Village",40.72547,-73.98315,"Entire home/apt",150,2,2,"2017-09-26",0.09,1,0,0,1
27599185,"Legal Redesigned 2 BDRS PARK SLOPE/Prospect Park!",87786261,"Sophia","Brooklyn","South Slope",40.66055,-73.98597,"Entire home/apt",159,1,11,"2019-06-09",1.05,5,262,0,0
15818145,"Massive Brooklyn Brick 2 Floor Oasis",5568352,"Austin","Brooklyn","Fort Greene",40.68718,-73.97289,"Entire home/apt",200,2,2,"2019-07-03",2,1,15,0,0
571564,"large spacious room",1141935,"Ana","Brooklyn","Crown Heights",40.67436,-73.94807,"Private room",95,1,123,"2019-06-02",1.47,3,359,0,0
13077215,"Third Avenue, 1bd Serviced Apartment",22541573,"Ken","Manhattan","Gramercy",40.7382,-73.98301,"Entire home/apt",245,30,1,"2018-11-01",0.12,87,236,0,1
4853437,"Comfortable Room in Great Location",24880134,"Cam","Brooklyn","Prospect Heights",40.67935,-73.96912,"Private room",75,3,1,"2018-09-15",0.1,3,0,0,0
7433796,"Room Epic View Near Freedom Tower",2134232,"Crystal","Manhattan","Tribeca",40.71928,-74.01125,"Private room",100,1,15,"2017-06-08",0.34,2,0,0,1
17698189,"A2Long Island City Big Room Great Location",79105834,"Leo","Queens","Long Island City",40.75551,-73.934,"Private room",58,1,74,"2019-06-21",2.66,9,281,0,0
21231543,"Hillside Hotel",134184451,"Hillside Hotel","Queens","Jamaica",40.70428,-73.81353,"Private room",135,1,0,"",NA,18,365,0,0
35220992,"Lovely Fam hse, one  lg quest private BR on 2nd fl",161906388,"Imelda","Queens","Woodhaven",40.68794,-73.85566,"Private room",45,1,4,"2019-06-30",4,1,3,0,0
23610064,"Private room w/memory foam QUEEN bed SUNNY space",130858402,"Sam","Manhattan","East Village",40.72909,-73.98986,"Private room",95,1,78,"2019-07-02",4.79,1,5,0,1
12604187,"A top floor in Midtown",18901504,"Ronald","Manhattan","Midtown",40.75369,-73.96632,"Entire home/apt",218,5,81,"2019-06-29",2.1,2,185,0,1
34809828,"Cuarto con ambiente Familiar solo adultos",262436389,"Edmea Valeria","Queens","Maspeth",40.73453,-73.89477,"Private room",50,1,4,"2019-07-02",3.64,1,219,0,0
23131496,"Beautiful stylish studio in Midtown",99683151,"Christina","Manhattan","Kips Bay",40.73799,-73.97821,"Entire home/apt",160,3,36,"2019-06-23",2.14,3,266,0,1
76761,"Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm",118971,"Evelyn","Brooklyn","South Slope",40.66552,-73.99019,"Entire home/apt",169,2,398,"2019-06-28",3.97,3,182,0,0
34419439,"Spacious bright classic apt in Ridgewood",189421403,"Stefan","Queens","Ridgewood",40.70539,-73.90857,"Entire home/apt",155,2,2,"2019-06-10",1,3,59,0,0
17299278,"E. W'burg Private Room near subway",116709076,"Jay","Brooklyn","Williamsburg",40.70245,-73.9427,"Private room",80,15,47,"2019-04-09",1.86,1,8,0,0
29358057,"Murray Hill Apt (next to 6 train & near Penn/Bus)",52161562,"Marlena","Manhattan","Kips Bay",40.7444,-73.97946,"Entire home/apt",125,2,14,"2019-05-27",1.65,1,0,0,1
11827037,"Spacious apt in Prospect Lefferts",63002307,"Natalie","Brooklyn","Prospect-Lefferts Gardens",40.6559,-73.95443,"Private room",65,1,0,"",NA,1,0,0,0
28438216,"2BED Close UN Location full Kitchen Free Breakfast",214347105,"Roman","Manhattan","Midtown",40.75282,-73.96688,"Entire home/apt",389,3,8,"2019-05-22",0.83,8,339,0,1
12601807,"Sunny light filled bedroom",9848712,"Randy","Manhattan","East Harlem",40.80073,-73.94465,"Private room",85,3,89,"2019-06-05",2.37,2,228,0,1
12999396,"Red Hook Beach House, Garden, Pool , Roof top",29210997,"Stephanie","Brooklyn","Red Hook",40.67498,-74.01169,"Entire home/apt",400,3,11,"2019-07-01",0.29,1,6,0,0
31040444,"Large Bedroom near Central Park and Mt Sinah",231846634,"Jacqueline","Manhattan","East Harlem",40.79022,-73.9471,"Private room",100,30,0,"",NA,1,262,0,1
18691204,"Luxury Apt in Williamsburg + Huge private terrace",68472942,"Alex","Brooklyn","Williamsburg",40.70943,-73.95064,"Entire home/apt",175,3,3,"2018-08-26",0.28,1,364,0,0
29646454,"Large Private room in Astoria. Midtown in 20mins",7832790,"Michael","Queens","Astoria",40.76416,-73.91321,"Private room",90,1,7,"2019-06-05",1,2,49,0,0
34929016,"Private Living Room in the Heart of Chelsea",25408903,"Jaclyn","Manhattan","Chelsea",40.74125,-73.99926,"Private room",89,1,5,"2019-06-29",5,1,296,0,1
1305346,"Studio in the Heart of Soho",7096964,"Chris","Manhattan","SoHo",40.72098,-73.99869,"Entire home/apt",145,30,12,"2018-11-30",0.17,1,342,0,1
13225764,"Large Clean and Modern Room  Near Subway Lines",74227432,"Tony","Manhattan","Harlem",40.82579,-73.9528,"Private room",79,1,56,"2019-06-09",1.49,1,74,1,1
31075162,"2 BEDROOMS 2 PERSONS EACH",228571016,"Alexis","Manhattan","Harlem",40.82584,-73.95024,"Private room",295,1,2,"2019-06-14",0.76,2,89,0,1
33900546,"The Green Place",101790764,"Zabi","Queens","Long Island City",40.74895,-73.9474,"Entire home/apt",199,2,6,"2019-06-22",2.81,2,175,0,0
8533457,"Close to everything, transportation",44924379,"Roland","Queens","Jamaica",40.69872,-73.78614,"Private room",70,1,68,"2019-06-13",1.5,3,349,0,0
26557748,"Quiet and Cozy Brooklyn Home in Perfect Location",1840698,"Jared","Brooklyn","Greenpoint",40.72446,-73.9516,"Entire home/apt",180,3,13,"2019-06-17",1.13,1,0,0,0
18910029,"Spacious 2 Bd Apartment in Central Park North",438083,"Kanyi","Manhattan","Harlem",40.80115,-73.95262,"Entire home/apt",112,3,1,"2017-06-12",0.04,1,0,0,1
31414856,"Loft Room in Bushwick",235311151,"Armin","Brooklyn","Williamsburg",40.7025,-73.93561,"Private room",40,2,1,"2019-03-25",0.28,1,0,0,0
26440793,"Comfortable Brooklyn Apartment with Personality",17224262,"Dana","Brooklyn","Bedford-Stuyvesant",40.69557,-73.94033,"Entire home/apt",100,3,5,"2018-12-31",0.42,1,3,0,0
22160989,"Harlem Luxury Condo !New! 2 Full Bedrooms Balcony",161592215,"Mukaram","Manhattan","East Harlem",40.8025,-73.93775,"Entire home/apt",200,6,32,"2019-06-01",1.73,2,251,0,1
27836335,"Private Room in great location Bushwick!",13098292,"Raisa","Brooklyn","Bushwick",40.69994,-73.93299,"Private room",55,2,0,"",NA,2,0,0,0
26281121,"Quiet bedroom in walking distance to Central Park",197579052,"Vlad","Manhattan","East Harlem",40.79657,-73.93913,"Private room",80,1,49,"2019-05-20",3.89,2,110,0,1
29216296,"Feel at home!",23703328,"Dada","Queens","Kew Gardens",40.71163,-73.82752,"Private room",59,1,24,"2019-06-30",2.76,1,32,0,0
34493353,"5★ clean,  150ft² bedroom, 10min to Union Square",28371926,"John","Brooklyn","Williamsburg",40.70973,-73.94521,"Private room",60,2,9,"2019-06-25",4.82,1,87,1,0
31879887,"Spacious ground floor in Brooklyn town house",238894847,"Ofrit","Brooklyn","Bedford-Stuyvesant",40.68636,-73.95577,"Entire home/apt",200,2,11,"2019-07-01",3.33,1,269,0,0
30393414,"Grand UES 1BR w/ Doorman, Gym, + Roof deck by Blueground",107434423,"Blueground","Manhattan","Upper East Side",40.77506,-73.95678,"Entire home/apt",271,30,0,"",NA,232,240,0,1
