"work_year","experience_level","employment_type","job_title","salary_currency","employee_residence","remote_ratio","company_location","company_size","log_salary"
2020,"MI","FT","Data Scientist","EUR","DE",0,"DE","L",11.2876922317909
2020,"SE","FT","Machine Learning Scientist","USD","JP",0,"JP","S",12.4684369099977
2020,"SE","FT","Big Data Engineer","GBP","GB",50,"GB","M",11.5993233204607
2020,"MI","FT","Product Data Analyst","USD","HN",0,"HN","S",9.90348755253613
2020,"SE","FT","Machine Learning Engineer","USD","US",50,"US","L",11.9183905730784
2020,"EN","FT","Data Analyst","USD","US",100,"US","L",11.1844213979982
2020,"SE","FT","Lead Data Scientist","USD","US",100,"US","S",12.1547793511426
2020,"MI","FT","Data Scientist","HUF","HU",50,"HU","L",10.4838858796541
2020,"MI","FT","Business Data Analyst","USD","US",100,"US","L",11.8130300574206
2020,"SE","FT","Lead Data Engineer","USD","NZ",50,"NZ","S",11.7360690162844
2020,"EN","FT","Data Scientist","EUR","FR",0,"FR","S",10.8458553041204
2020,"MI","FT","Data Scientist","INR","IN",0,"IN","L",10.6085880072135
2020,"EN","FT","Data Scientist","EUR","FR",0,"FR","M",10.5945325250042
2020,"MI","FT","Lead Data Analyst","USD","US",100,"US","L",11.3736633976367
2020,"MI","FT","Data Analyst","USD","US",100,"US","L",11.3504065354725
2020,"MI","FT","Data Analyst","USD","PK",50,"PK","L",8.98719682066197
2020,"EN","FT","Data Engineer","JPY","JP",100,"JP","S",10.6379925840196
2020,"SE","FT","Big Data Engineer","EUR","PL",100,"GB","S",11.644365923114
2020,"EN","FT","Data Science Consultant","INR","IN",50,"IN","M",8.64944877053671
2020,"MI","FT","Lead Data Engineer","USD","PT",100,"US","M",10.9331069697173
2020,"MI","FT","Machine Learning Engineer","CNY","CN",0,"CN","M",10.676623593166
2020,"MI","FT","Product Data Analyst","INR","IN",100,"IN","L",8.71144331907547
2020,"SE","FT","Data Engineer","EUR","GR",50,"GR","L",10.7768499063544
2020,"MI","FT","BI Data Analyst","USD","US",0,"US","M",11.4927227576527
2020,"MI","FT","Lead Data Scientist","USD","AE",0,"AE","L",11.6526874073454
2020,"EX","FT","Director of Data Science","USD","US",100,"US","L",12.6915804613119
2020,"EN","FT","Research Scientist","USD","NL",50,"NL","L",10.6454248972655
2020,"SE","FT","Data Engineer","MXN","MX",0,"MX","S",10.4196290221244
2020,"EN","CT","Business Data Analyst","USD","US",100,"US","L",11.5129254649702
2020,"SE","FT","Machine Learning Manager","CAD","CA",50,"CA","L",11.670817707841
